,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2020-12-23,19,CHI,,ATL,L (-20),1,33,5,11,0.455,1,3,0.333,5,6,0.833,0,4,4,1,1,1,0,2,16,12.7,-23
1,1,2,2.0,2020-12-26,19,CHI,,IND,L (-19),1,22,2,6,0.333,1,1,1.0,4,4,1.0,1,1,2,1,0,1,4,0,9,4.0,-14
2,2,3,3.0,2020-12-27,19,CHI,,GSW,L (-1),1,26,2,5,0.4,0,1,0.0,2,2,1.0,1,3,4,2,0,3,2,1,6,6.0,6
3,3,4,4.0,2020-12-29,19,CHI,@,WAS,W (+8),1,20,5,10,0.5,2,3,0.667,0,0,,1,0,1,2,0,0,1,3,12,6.9,1
4,4,5,5.0,2020-12-31,19,CHI,@,WAS,W (+3),1,18,4,5,0.8,1,2,0.5,1,2,0.5,0,1,1,0,0,0,2,4,10,4.4,-15
5,5,6,6.0,2021-01-01,19,CHI,@,MIL,L (-30),1,25,4,11,0.364,0,2,0.0,0,1,0.0,0,6,6,0,0,1,3,4,8,-0.6,-11
6,6,7,7.0,2021-01-03,19,CHI,,DAL,W (+10),1,28,3,8,0.375,0,1,0.0,0,0,,0,5,5,1,3,2,0,1,6,7.8,6
7,7,8,8.0,2021-01-05,19,CHI,@,POR,W (+3),1,25,5,8,0.625,2,2,1.0,2,2,1.0,1,2,3,1,0,0,2,2,14,9.6,-4
8,8,9,9.0,2021-01-06,19,CHI,@,SAC,L (-4),1,22,3,6,0.5,1,2,0.5,2,2,1.0,1,1,2,1,1,0,0,5,9,6.7,2
9,9,10,10.0,2021-01-08,19,CHI,@,LAL,L (-2),1,34,3,10,0.3,0,2,0.0,0,0,,2,6,8,0,4,0,2,5,6,3.4,0
10,10,11,11.0,2021-01-10,19,CHI,@,LAC,L (-3),1,36,6,9,0.667,3,5,0.6,2,2,1.0,1,1,2,2,2,0,2,1,17,15.1,9
11,11,12,12.0,2021-01-15,19,CHI,@,OKC,L (-2),1,36,5,7,0.714,2,3,0.667,2,2,1.0,2,5,7,2,0,2,3,3,14,12.6,-7
12,12,13,13.0,2021-01-17,19,CHI,@,DAL,W (+16),1,23,2,5,0.4,1,1,1.0,0,0,,0,5,5,1,0,0,1,4,5,1.9,0
13,14,15,14.0,2021-01-22,19,CHI,@,CHO,W (+13),1,16,2,7,0.286,0,2,0.0,0,1,0.0,2,4,6,0,0,0,1,2,4,0.3,1
14,15,16,15.0,2021-01-23,19,CHI,,LAL,L (-11),1,31,5,12,0.417,2,4,0.5,1,2,0.5,4,4,8,1,0,1,1,2,13,9.8,-3
15,16,17,16.0,2021-01-25,19,CHI,,BOS,L (-16),1,10,1,4,0.25,0,2,0.0,0,0,,0,0,0,1,1,0,2,2,2,-1.5,-20
16,17,18,17.0,2021-01-30,19,CHI,,POR,L (-1),1,24,4,7,0.571,1,3,0.333,2,2,1.0,0,1,1,1,1,0,1,0,11,8.7,-12
17,18,19,18.0,2021-02-01,19,CHI,,NYK,W (+8),1,28,3,8,0.375,0,3,0.0,4,6,0.667,0,1,1,2,0,0,0,1,10,6.1,-1
18,19,20,19.0,2021-02-03,19,CHI,,NYK,L (-4),1,32,6,12,0.5,0,3,0.0,0,1,0.0,0,7,7,1,1,0,2,1,12,7.0,5
19,20,21,20.0,2021-02-05,19,CHI,@,ORL,L (-4),1,34,7,11,0.636,0,1,0.0,6,6,1.0,2,5,7,1,2,1,1,3,20,19.2,-8
20,21,22,21.0,2021-02-06,19,CHI,@,ORL,W (+26),1,33,7,13,0.538,1,2,0.5,1,1,1.0,1,9,10,1,0,1,2,1,16,12.1,22
21,22,23,22.0,2021-02-08,19,CHI,,WAS,L (-4),1,35,2,7,0.286,2,3,0.667,4,4,1.0,0,6,6,1,0,0,2,3,10,5.2,6
22,23,24,23.0,2021-02-10,19,CHI,,NOP,W (+13),1,35,2,7,0.286,1,2,0.5,2,4,0.5,1,4,5,1,2,2,1,4,7,5.5,7
23,24,25,24.0,2021-02-12,19,CHI,,LAC,L (-19),1,35,1,5,0.2,0,1,0.0,1,2,0.5,0,4,4,1,0,1,1,2,3,0.3,-19
24,25,26,25.0,2021-02-15,19,CHI,@,IND,W (+8),1,27,2,10,0.2,1,2,0.5,2,2,1.0,2,7,9,1,0,1,3,0,7,2.7,-6
25,26,27,26.0,2021-02-17,19,CHI,,DET,W (+3),1,29,5,7,0.714,1,2,0.5,4,5,0.8,1,4,5,2,1,1,0,3,15,15.5,-10
26,27,28,27.0,2021-02-19,19,CHI,@,PHI,L (-7),1,31,2,5,0.4,0,1,0.0,2,2,1.0,0,3,3,2,1,0,3,2,6,2.8,-9
27,28,29,28.0,2021-02-20,19,CHI,,SAC,W (+8),1,35,5,10,0.5,1,3,0.333,0,0,,1,10,11,3,1,0,3,4,11,8.2,-1
28,29,30,29.0,2021-02-22,19,CHI,@,HOU,W (+20),1,34,6,8,0.75,2,4,0.5,0,0,,1,6,7,1,1,1,1,2,14,13.9,28
29,30,31,30.0,2021-02-24,19,CHI,,MIN,W (+7),1,27,5,8,0.625,1,2,0.5,2,2,1.0,1,3,4,2,2,1,1,2,13,13.3,2
30,31,32,31.0,2021-02-26,19,CHI,,PHO,L (-9),1,33,2,8,0.25,0,3,0.0,0,0,,2,5,7,2,0,1,1,0,4,3.2,-11
31,32,33,32.0,2021-03-01,19,CHI,,DEN,L (-6),1,32,5,11,0.455,2,4,0.5,1,3,0.333,2,2,4,0,0,1,0,1,13,8.8,-23
