,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,5,6,3.0,2016-11-05,22,CHI,@,IND,L (-17),0,8,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,9
3,6,7,4.0,2016-11-07,22,CHI,,ORL,W (+32),0,6,0,1,0.0,0,1,0.0,0,0,,0,2,2,1,0,0,1,1,0,-0.8,3
6,25,26,7.0,2016-12-16,22,CHI,,MIL,L (-26),0,9,1,4,0.25,0,2,0.0,1,2,0.5,0,2,2,0,1,0,2,1,3,-0.6,-3
7,26,27,8.0,2016-12-19,22,CHI,,DET,W (+31),0,7,0,3,0.0,0,0,,0,0,,1,0,1,1,0,0,0,0,0,-0.7,-3
9,37,38,10.0,2017-01-09,22,CHI,,OKC,L (-15),0,8,0,3,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.8,5
10,39,40,11.0,2017-01-12,22,CHI,@,NYK,L (-15),1,34,2,6,0.333,1,3,0.333,2,2,1.0,0,5,5,2,0,0,0,1,7,6.1,-16
11,41,42,12.0,2017-01-15,22,CHI,@,MEM,W (+4),1,15,2,3,0.667,0,1,0.0,1,2,0.5,0,2,2,0,0,0,3,1,5,0.5,-5
12,42,43,13.0,2017-01-17,22,CHI,,DAL,L (-1),1,19,2,5,0.4,1,2,0.5,0,0,,0,3,3,0,0,0,0,0,5,3.2,6
13,43,44,14.0,2017-01-20,22,CHI,@,ATL,L (-9),0,15,3,7,0.429,1,3,0.333,3,3,1.0,0,1,1,0,0,0,0,2,10,5.8,17
14,44,45,15.0,2017-01-21,22,CHI,,SAC,W (+3),0,23,4,8,0.5,3,6,0.5,2,2,1.0,2,2,4,0,0,0,2,2,13,8.2,11
15,45,46,16.0,2017-01-24,22,CHI,@,ORL,W (+8),0,20,1,4,0.25,1,3,0.333,2,2,1.0,0,1,1,0,0,1,2,2,5,0.8,6
16,46,47,17.0,2017-01-25,22,CHI,,ATL,L (-5),0,23,0,4,0.0,0,3,0.0,2,2,1.0,0,3,3,0,0,2,0,1,2,1.1,-7
17,47,48,18.0,2017-01-27,22,CHI,,MIA,L (-12),1,27,5,11,0.455,1,4,0.25,3,3,1.0,0,5,5,0,1,0,1,2,14,9.0,-4
18,48,49,19.0,2017-01-29,22,CHI,,PHI,W (+13),0,29,5,8,0.625,3,5,0.6,0,0,,0,3,3,0,0,0,0,0,13,10.3,20
19,49,50,20.0,2017-02-01,22,CHI,@,OKC,W (+28),0,24,2,5,0.4,1,3,0.333,2,3,0.667,0,5,5,2,0,0,1,2,7,5.0,-4
20,50,51,21.0,2017-02-03,22,CHI,@,HOU,L (-4),0,29,4,10,0.4,1,6,0.167,2,2,1.0,2,1,3,1,2,2,2,5,11,7.4,0
21,51,52,22.0,2017-02-06,22,CHI,@,SAC,W (+5),0,24,0,3,0.0,0,2,0.0,0,0,,1,1,2,1,1,0,0,1,0,0.2,-14
22,52,53,23.0,2017-02-08,22,CHI,@,GSW,L (-31),1,10,0,1,0.0,0,1,0.0,0,0,,1,2,3,0,1,0,0,1,0,1.2,-11
23,60,61,24.0,2017-03-02,23,CHI,,GSW,W (+7),0,23,4,5,0.8,1,2,0.5,0,0,,0,4,4,1,1,0,0,4,9,8.4,5
24,61,62,25.0,2017-03-04,23,CHI,,LAC,L (-10),0,18,4,6,0.667,1,2,0.5,1,2,0.5,0,2,2,0,0,0,2,2,10,4.8,-13
25,62,63,26.0,2017-03-06,23,CHI,@,DET,L (-14),1,31,2,4,0.5,0,0,,0,0,,1,3,4,1,0,1,0,4,4,3.4,-2
26,63,64,27.0,2017-03-08,23,CHI,@,ORL,L (-7),1,14,1,4,0.25,1,1,1.0,0,0,,0,2,2,1,0,0,2,3,3,-1.3,-7
