,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,3,4,2.0,2009-11-06,25,GSW,,LAC,L (-28),0,12,1,4,0.25,0,2,0.0,0,0,,0,0,0,1,1,0,1,1,2,-0.1,2
2,4,5,3.0,2009-11-08,25,GSW,@,SAC,L (-13),0,9,0,3,0.0,0,2,0.0,0,0,,0,0,0,1,0,0,0,0,0,-1.4,10
3,5,6,4.0,2009-11-09,25,GSW,,MIN,W (+41),0,11,5,6,0.833,3,4,0.75,0,0,,0,0,0,1,1,1,0,0,13,13.2,5
4,6,7,5.0,2009-11-11,25,GSW,@,IND,L (-14),0,11,1,4,0.25,0,1,0.0,0,0,,0,0,0,1,1,0,0,0,2,1.3,3
5,7,8,6.0,2009-11-13,25,GSW,@,NYK,W (+14),0,27,7,8,0.875,2,2,1.0,3,3,1.0,1,1,2,3,2,1,1,2,19,20.2,14
6,8,9,7.0,2009-11-14,25,GSW,@,MIL,L (-4),0,34,2,5,0.4,1,3,0.333,0,0,,0,1,1,3,1,0,1,1,5,4.3,-2
7,13,14,8.0,2009-11-25,25,GSW,@,SAS,L (-14),0,16,0,2,0.0,0,0,,0,0,,0,1,1,1,0,0,0,2,0,-1.2,5
8,14,15,9.0,2009-11-28,25,GSW,,LAL,L (-33),0,21,3,5,0.6,0,0,,2,2,1.0,1,3,4,1,1,1,1,1,8,8.3,-10
9,15,16,10.0,2009-11-30,25,GSW,,IND,W (+19),0,35,7,10,0.7,2,3,0.667,2,3,0.667,1,3,4,6,3,0,2,1,18,19.8,27
10,16,17,11.0,2009-12-01,25,GSW,@,DEN,L (-28),0,33,6,14,0.429,0,4,0.0,2,2,1.0,0,5,5,2,1,1,1,0,14,10.2,-21
11,17,18,12.0,2009-12-03,25,GSW,,HOU,L (-2),0,30,5,9,0.556,2,3,0.667,0,0,,1,5,6,2,2,0,1,2,12,11.5,-7
12,18,19,13.0,2009-12-05,25,GSW,,ORL,L (-8),1,30,6,10,0.6,2,6,0.333,3,3,1.0,0,2,2,2,1,0,1,5,17,12.4,-1
13,19,20,14.0,2009-12-07,25,GSW,@,OKC,L (-16),1,48,3,7,0.429,1,2,0.5,3,5,0.6,0,5,5,3,2,0,3,2,10,7.3,-16
14,20,21,15.0,2009-12-09,25,GSW,@,NJN,W (+16),0,30,8,14,0.571,2,4,0.5,0,0,,0,2,2,2,5,0,1,4,18,15.8,21
15,21,22,16.0,2009-12-11,25,GSW,@,CHI,L (-5),0,33,3,6,0.5,1,2,0.5,2,2,1.0,0,5,5,2,2,1,0,3,9,10.4,3
16,22,23,17.0,2009-12-12,25,GSW,@,DET,L (-9),0,36,6,11,0.545,0,4,0.0,1,1,1.0,0,4,4,6,0,0,0,2,13,12.3,-4
17,23,24,18.0,2009-12-14,25,GSW,@,PHI,L (-16),0,30,2,4,0.5,1,2,0.5,5,5,1.0,0,1,1,2,2,0,2,2,10,8.9,3
18,24,25,19.0,2009-12-16,25,GSW,,SAS,L (-12),1,44,5,13,0.385,1,2,0.5,0,0,,2,5,7,4,3,0,2,2,11,9.8,-9
19,25,26,20.0,2009-12-18,25,GSW,,WAS,L (-9),0,28,2,5,0.4,0,1,0.0,1,3,0.333,0,3,3,3,1,1,1,3,5,4.0,3
20,26,27,21.0,2009-12-22,25,GSW,@,MEM,L (-13),0,15,1,5,0.2,0,1,0.0,2,2,1.0,0,2,2,1,0,0,1,1,4,0.8,-19
21,27,28,22.0,2009-12-23,25,GSW,@,NOH,L (-6),1,37,2,7,0.286,1,5,0.2,0,0,,0,4,4,1,1,0,1,2,5,2.0,-9
22,28,29,23.0,2009-12-26,25,GSW,,PHO,W (+5),0,32,4,5,0.8,1,1,1.0,5,6,0.833,1,2,3,3,2,0,0,3,14,15.9,3
23,29,30,24.0,2009-12-28,25,GSW,,BOS,W (+4),0,37,4,8,0.5,1,3,0.333,2,4,0.5,0,0,0,7,7,1,3,1,11,15.4,20
24,30,31,25.0,2009-12-29,25,GSW,@,LAL,L (-6),0,30,4,6,0.667,4,5,0.8,2,3,0.667,0,2,2,4,2,0,1,0,14,15.4,0
25,31,32,26.0,2010-01-02,25,GSW,@,POR,L (-16),0,33,0,8,0.0,0,3,0.0,2,2,1.0,0,0,0,2,1,0,0,2,2,-2.0,-25
26,32,33,27.0,2010-01-05,25,GSW,@,DEN,L (-1),0,20,1,6,0.167,0,2,0.0,0,0,,1,1,2,3,1,0,0,1,2,1.9,-2
27,33,34,28.0,2010-01-06,25,GSW,@,MIN,W (+6),0,26,1,5,0.2,0,1,0.0,0,0,,1,1,2,1,1,0,2,3,2,-1.6,-7
28,34,35,29.0,2010-01-08,25,GSW,,SAC,W (+7),0,19,3,6,0.5,0,1,0.0,0,1,0.0,0,4,4,2,2,0,2,1,6,4.8,-7
29,35,36,30.0,2010-01-11,25,GSW,,CLE,L (-3),0,14,0,3,0.0,0,1,0.0,1,2,0.5,0,1,1,1,0,0,0,0,1,-0.5,8
30,36,37,31.0,2010-01-13,25,GSW,,MIA,L (-13),0,5,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-7
31,41,42,32.0,2010-01-23,25,GSW,@,PHO,L (-9),0,25,5,8,0.625,0,1,0.0,1,2,0.5,1,2,3,2,1,0,3,3,11,6.5,-5
32,42,43,33.0,2010-01-26,25,GSW,@,SAC,L (-3),0,34,1,8,0.125,0,1,0.0,5,8,0.625,0,3,3,3,2,0,0,3,7,4.4,-1
33,43,44,34.0,2010-01-27,25,GSW,,NOH,L (-13),1,37,9,14,0.643,2,3,0.667,3,4,0.75,1,2,3,5,0,0,0,6,23,18.8,-20
34,44,45,35.0,2010-01-29,25,GSW,,CHA,L (-11),0,15,2,5,0.4,0,1,0.0,0,0,,0,3,3,0,0,0,0,0,4,2.2,-1
35,45,46,36.0,2010-01-31,25,GSW,@,OKC,L (-8),0,24,4,8,0.5,1,3,0.333,4,4,1.0,1,2,3,1,0,0,1,3,13,8.8,20
36,46,47,37.0,2010-02-02,25,GSW,@,HOU,L (-22),0,34,4,11,0.364,0,3,0.0,1,2,0.5,1,1,2,2,1,0,1,1,9,4.5,-1
37,47,48,38.0,2010-02-03,25,GSW,@,DAL,L (-9),0,28,5,10,0.5,0,3,0.0,4,4,1.0,0,0,0,1,2,0,2,0,14,9.7,-1
38,48,49,39.0,2010-02-06,25,GSW,,OKC,L (-9),0,13,0,3,0.0,0,2,0.0,0,0,,0,2,2,1,0,0,1,1,0,-2.2,-3
39,49,50,40.0,2010-02-08,25,GSW,,DAL,L (-10),0,6,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,3,0,-2.2,-7
40,50,51,41.0,2010-02-10,25,GSW,,LAC,W (+30),1,48,5,7,0.714,0,1,0.0,1,4,0.25,0,4,4,8,2,0,1,2,11,13.9,30
41,51,52,42.0,2010-02-16,25,GSW,@,LAL,L (-10),0,27,8,14,0.571,3,5,0.6,1,1,1.0,0,2,2,2,2,0,1,2,20,15.6,9
42,52,53,43.0,2010-02-17,25,GSW,,SAC,W (+32),1,43,16,23,0.696,2,3,0.667,6,8,0.75,0,7,7,6,2,0,1,0,40,36.8,34
43,53,54,44.0,2010-02-19,25,GSW,,UTA,L (-11),0,33,6,14,0.429,0,2,0.0,10,10,1.0,1,2,3,3,3,0,1,5,22,18.0,-10
44,54,55,45.0,2010-02-21,25,GSW,,ATL,W (+4),0,32,6,10,0.6,0,0,,3,3,1.0,1,1,2,6,2,0,0,1,15,17.2,14
45,55,56,46.0,2010-02-23,25,GSW,,PHI,L (-8),0,39,6,13,0.462,3,5,0.6,5,7,0.714,1,2,3,4,2,0,2,3,20,15.4,7
46,57,58,47.0,2010-02-27,25,GSW,,DET,W (+7),1,45,5,15,0.333,2,8,0.25,5,8,0.625,1,7,8,5,2,1,6,5,17,8.3,9
47,58,59,48.0,2010-03-02,25,GSW,@,MIA,L (-4),1,40,9,15,0.6,1,4,0.25,1,2,0.5,0,2,2,0,6,0,1,5,20,16.3,-4
48,59,60,49.0,2010-03-03,25,GSW,@,ORL,L (-27),1,35,6,10,0.6,1,2,0.5,5,8,0.625,0,1,1,3,4,0,1,2,18,16.8,-11
49,60,61,50.0,2010-03-05,25,GSW,@,ATL,L (-5),1,34,5,9,0.556,0,1,0.0,10,11,0.909,2,2,4,6,0,0,1,3,20,19.3,-4
50,61,62,51.0,2010-03-06,25,GSW,@,CHA,L (-11),0,29,4,8,0.5,1,1,1.0,0,0,,0,1,1,4,1,0,0,3,9,7.9,-5
51,62,63,52.0,2010-03-08,25,GSW,@,NOH,L (-4),1,38,4,9,0.444,0,3,0.0,4,4,1.0,1,2,3,7,3,0,2,2,12,13.7,-2
52,63,64,53.0,2010-03-11,25,GSW,,POR,L (-5),0,35,5,10,0.5,0,1,0.0,2,2,1.0,0,5,5,6,2,0,2,2,12,11.9,-1
53,64,65,54.0,2010-03-13,25,GSW,,TOR,W (+12),0,14,1,4,0.25,1,1,1.0,4,5,0.8,1,5,6,1,1,0,1,1,7,6.7,1
54,65,66,55.0,2010-03-15,25,GSW,,LAL,L (-3),0,24,4,10,0.4,0,1,0.0,1,2,0.5,1,1,2,4,3,0,0,1,9,9.6,13
55,66,67,56.0,2010-03-17,25,GSW,,NOH,W (+10),1,29,2,8,0.25,0,3,0.0,3,4,0.75,0,1,1,5,1,0,2,3,7,3.4,-8
56,67,68,57.0,2010-03-19,25,GSW,@,SAS,L (-31),1,39,5,13,0.385,0,2,0.0,1,1,1.0,0,2,2,8,4,0,2,2,11,11.3,-24
57,68,69,58.0,2010-03-20,25,GSW,@,MEM,L (-16),0,26,6,13,0.462,0,1,0.0,1,2,0.5,0,2,2,3,4,0,2,1,13,10.2,-13
58,69,70,59.0,2010-03-22,25,GSW,,PHO,L (-2),0,14,3,4,0.75,0,1,0.0,0,0,,0,1,1,0,0,0,1,6,6,1.3,-1
59,70,71,60.0,2010-03-24,25,GSW,,MEM,W (+18),0,16,3,6,0.5,1,2,0.5,2,2,1.0,2,2,4,0,1,0,1,1,9,7.6,2
60,71,72,61.0,2010-03-27,25,GSW,,DAL,L (-21),0,28,3,13,0.231,1,3,0.333,0,0,,1,2,3,1,1,0,0,2,7,1.3,-15
61,72,73,62.0,2010-03-28,25,GSW,@,LAC,W (+18),0,37,5,7,0.714,0,2,0.0,1,1,1.0,0,2,2,3,2,0,1,0,11,11.8,27
62,73,74,63.0,2010-03-31,25,GSW,@,UTA,L (-24),0,25,3,9,0.333,1,2,0.5,2,2,1.0,0,3,3,0,0,0,0,3,9,3.6,-17
63,74,75,64.0,2010-04-02,25,GSW,,NYK,W (+11),1,34,3,11,0.273,0,3,0.0,3,5,0.6,1,3,4,8,1,0,3,1,9,6.5,6
64,75,76,65.0,2010-04-04,25,GSW,@,TOR,W (+1),0,18,2,5,0.4,0,1,0.0,1,1,1.0,1,1,2,0,1,0,0,1,5,3.9,-1
65,76,1,1.0,2010-10-27,26,CHI,@,OKC,L (-11),0,17,4,8,0.5,0,2,0.0,0,0,,2,0,2,3,0,0,3,2,8,3.7,-10
66,77,2,2.0,2010-10-30,26,CHI,,DET,W (+10),0,10,2,5,0.4,0,1,0.0,0,0,,0,0,0,1,1,0,0,0,4,3.0,-5
67,78,3,3.0,2010-11-01,26,CHI,,POR,W (+12),0,11,2,5,0.4,0,1,0.0,0,0,,0,1,1,0,1,0,2,1,4,0.2,3
68,79,4,4.0,2010-11-04,26,CHI,,NYK,L (-8),0,13,1,7,0.143,0,1,0.0,2,2,1.0,0,1,1,3,1,0,1,2,4,1.1,2
69,80,5,5.0,2010-11-05,26,CHI,@,BOS,L (-5),0,7,2,2,1.0,1,1,1.0,0,0,,0,1,1,3,0,0,0,1,5,6.4,3
70,81,6,6.0,2010-11-08,26,CHI,,DEN,W (+2),0,9,2,3,0.667,0,0,,0,0,,0,0,0,2,0,0,0,0,4,4.1,-5
71,82,7,7.0,2010-11-11,26,CHI,,GSW,W (+30),0,17,2,3,0.667,1,2,0.5,2,2,1.0,0,4,4,2,1,0,0,0,7,9.3,4
72,83,8,8.0,2010-11-13,26,CHI,,WAS,W (+7),0,15,0,5,0.0,0,2,0.0,1,2,0.5,0,2,2,2,0,0,0,1,1,-1.3,-6
73,84,9,9.0,2010-11-16,26,CHI,@,HOU,W (+3),0,10,1,3,0.333,0,0,,0,0,,0,1,1,0,2,0,1,0,2,1.6,0
74,85,10,10.0,2010-11-17,26,CHI,@,SAS,L (-9),0,19,2,6,0.333,0,0,,2,2,1.0,0,1,1,3,3,0,1,0,6,7.0,15
75,86,11,11.0,2010-11-19,26,CHI,@,DAL,W (+5),0,18,4,9,0.444,1,3,0.333,4,4,1.0,1,1,2,2,0,0,2,1,13,8.3,4
76,87,12,12.0,2010-11-23,26,CHI,@,LAL,L (-7),0,13,1,5,0.2,0,1,0.0,0,0,,0,0,0,2,0,0,0,0,2,0.3,-3
77,88,13,13.0,2010-11-24,26,CHI,@,PHO,W (+8),0,15,1,4,0.25,0,0,,0,0,,0,0,0,2,2,0,3,4,2,-1.6,12
78,89,14,14.0,2010-11-26,26,CHI,@,DEN,L (-1),1,44,11,22,0.5,2,4,0.5,9,12,0.75,1,2,3,3,2,0,3,3,33,22.0,-2
79,90,15,15.0,2010-11-27,26,CHI,@,SAC,W (+11),0,6,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-1.4,1
80,91,16,16.0,2010-12-01,26,CHI,,ORL,L (-29),0,16,2,8,0.25,0,2,0.0,1,2,0.5,0,2,2,2,0,0,1,1,5,0.4,-5
81,92,17,17.0,2010-12-03,26,CHI,@,BOS,L (-12),0,12,2,5,0.4,1,2,0.5,3,3,1.0,0,0,0,1,0,0,0,1,8,5.6,15
82,93,18,18.0,2010-12-04,26,CHI,,HOU,W (+3),0,9,1,3,0.333,0,0,,0,0,,0,2,2,3,0,0,1,1,2,1.6,7
83,94,19,19.0,2010-12-06,26,CHI,,OKC,W (+9),0,13,0,2,0.0,0,0,,0,0,,0,0,0,1,1,0,2,0,0,-1.7,-8
84,95,20,20.0,2010-12-08,26,CHI,@,CLE,W (+5),0,17,1,3,0.333,0,0,,0,0,,0,0,0,4,2,0,1,1,2,3.7,-4
85,96,21,21.0,2010-12-10,26,CHI,,LAL,W (+4),0,9,1,3,0.333,0,0,,0,0,,1,0,1,2,2,0,2,1,2,2.0,-4
86,97,22,22.0,2010-12-11,26,CHI,,MIN,W (+31),0,18,0,4,0.0,0,1,0.0,2,2,1.0,0,4,4,3,1,0,1,0,2,2.5,12
87,98,23,23.0,2010-12-13,26,CHI,,IND,W (+19),0,9,0,2,0.0,0,1,0.0,1,4,0.25,0,0,0,1,0,1,0,3,1,-1.4,-6
88,99,24,24.0,2010-12-15,26,CHI,@,TOR,W (+17),0,18,1,4,0.25,0,1,0.0,1,2,0.5,0,4,4,4,0,0,2,3,3,1.0,-5
89,100,25,25.0,2010-12-18,26,CHI,,LAC,L (-1),0,11,2,4,0.5,1,1,1.0,0,0,,0,0,0,0,0,1,0,0,5,3.7,-11
90,101,26,26.0,2010-12-21,26,CHI,,PHI,W (+45),0,19,5,6,0.833,1,1,1.0,3,3,1.0,0,0,0,2,2,0,0,1,14,14.8,4
91,102,27,27.0,2010-12-22,26,CHI,@,WAS,W (+7),0,10,1,4,0.25,0,1,0.0,0,0,,0,0,0,1,1,0,2,0,2,-0.7,6
92,103,28,28.0,2010-12-25,26,CHI,@,NYK,L (-8),0,9,2,5,0.4,0,1,0.0,1,1,1.0,0,0,0,1,1,0,0,1,5,3.6,-5
93,104,29,29.0,2010-12-26,26,CHI,@,DET,W (+3),0,12,1,5,0.2,1,1,1.0,0,0,,1,0,1,1,0,0,1,1,3,-0.1,-4
94,105,30,30.0,2010-12-28,26,CHI,,MIL,W (+13),0,8,3,4,0.75,0,0,,1,1,1.0,0,2,2,1,1,0,1,1,7,6.3,0
95,106,31,31.0,2010-12-31,26,CHI,,NJN,W (+9),0,11,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,1,1,1,1,2,1.3,6
96,107,32,32.0,2011-01-01,26,CHI,,CLE,W (+9),0,11,1,6,0.167,1,4,0.25,0,0,,0,0,0,2,0,0,2,1,3,-1.8,-7
97,108,33,33.0,2011-01-04,26,CHI,,TOR,W (+20),0,18,2,5,0.4,0,1,0.0,1,2,0.5,0,0,0,5,3,1,1,0,5,8.1,16
98,109,34,34.0,2011-01-05,26,CHI,@,NJN,L (-2),0,19,3,8,0.375,1,3,0.333,2,2,1.0,0,2,2,4,0,0,0,3,9,6.8,15
99,110,35,35.0,2011-01-07,26,CHI,@,PHI,L (-6),0,20,2,4,0.5,2,3,0.667,0,0,,0,0,0,0,0,0,2,0,6,2.0,8
100,111,36,36.0,2011-01-08,26,CHI,,BOS,W (+11),0,11,1,2,0.5,0,0,,0,2,0.0,0,1,1,2,1,0,1,1,2,1.5,5
101,112,37,37.0,2011-01-10,26,CHI,,DET,W (+13),0,5,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-2
102,113,38,38.0,2011-01-12,26,CHI,@,CHA,L (-5),0,12,1,6,0.167,0,1,0.0,0,0,,1,0,1,2,0,1,0,1,2,0.6,3
103,114,39,39.0,2011-01-14,26,CHI,@,IND,W (+13),0,12,3,6,0.5,1,1,1.0,1,4,0.25,0,3,3,1,0,1,1,0,8,5.1,-1
104,115,40,40.0,2011-01-15,26,CHI,,MIA,W (+3),0,14,2,5,0.4,2,3,0.667,0,0,,0,1,1,1,0,0,0,0,6,4.3,3
105,116,41,41.0,2011-01-17,26,CHI,@,MEM,W (+12),0,9,0,3,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,1,0,-1.8,-5
106,117,42,42.0,2011-01-18,26,CHI,,CHA,L (-1),0,12,1,4,0.25,1,1,1.0,0,0,,0,1,1,3,0,0,2,0,3,1.0,0
107,118,43,43.0,2011-01-20,26,CHI,,DAL,W (+5),0,16,3,7,0.429,2,2,1.0,0,0,,0,1,1,0,0,0,0,3,8,3.4,12
108,119,44,44.0,2011-01-22,26,CHI,,CLE,W (+13),0,19,2,5,0.4,0,1,0.0,2,2,1.0,0,2,2,4,1,1,2,1,6,6.0,12
109,120,45,45.0,2011-01-24,26,CHI,,MIL,W (+9),0,11,3,7,0.429,2,3,0.667,0,0,,1,0,1,3,2,0,0,2,8,8.3,9
110,121,46,46.0,2011-01-28,26,CHI,,ORL,W (+9),0,10,0,5,0.0,0,1,0.0,0,0,,0,0,0,2,0,0,1,0,0,-3.1,-2
111,122,47,47.0,2011-01-29,26,CHI,,IND,W (+21),0,13,1,4,0.25,1,1,1.0,0,0,,0,1,1,3,1,0,0,2,3,3.2,10
112,123,48,48.0,2011-02-02,26,CHI,@,LAC,W (+18),0,10,3,4,0.75,2,3,0.667,1,2,0.5,0,2,2,2,0,0,2,1,9,6.6,7
113,124,49,49.0,2011-02-05,26,CHI,@,GSW,L (-11),0,11,0,5,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,0,-3.6,-14
114,125,50,50.0,2011-02-07,26,CHI,@,POR,L (-6),0,10,0,1,0.0,0,0,,0,0,,0,0,0,2,1,1,1,1,0,1.0,5
