,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,6,2.0,2018-10-27,21,BOS,@,DET,W (+20),0,8,1,1,1.0,0,0,,0,0,,2,0,2,1,0,3,0,1,2,5.5,-3
5,5,19,6.0,2018-11-23,21,BOS,@,ATL,W (+18),0,9,2,2,1.0,0,0,,0,0,,0,3,3,0,0,1,0,1,4,4.6,-7
7,8,22,8.0,2018-11-30,21,BOS,,CLE,W (+33),0,8,1,3,0.333,0,0,,0,0,,1,1,2,0,0,2,0,2,2,1.9,3
9,12,26,10.0,2018-12-10,21,BOS,,NOP,W (+13),0,26,3,5,0.6,0,0,,1,2,0.5,4,7,11,0,1,3,0,1,7,11.9,13
10,13,27,11.0,2018-12-12,21,BOS,@,WAS,W (+5),0,14,3,5,0.6,0,0,,0,0,,3,3,6,0,0,2,0,2,6,7.3,-5
11,14,28,12.0,2018-12-14,21,BOS,,ATL,W (+21),0,16,1,1,1.0,0,0,,0,0,,1,4,5,0,0,5,2,1,2,4.7,-14
12,15,29,13.0,2018-12-15,21,BOS,@,DET,L (-9),0,10,1,1,1.0,0,0,,0,0,,0,1,1,0,0,1,0,0,2,2.7,1
13,16,30,14.0,2018-12-19,21,BOS,,PHO,L (-8),0,24,4,4,1.0,0,0,,0,2,0.0,5,3,8,1,1,5,1,2,8,13.8,-13
14,17,31,15.0,2018-12-21,21,BOS,,MIL,L (-13),0,8,1,1,1.0,0,0,,2,2,1.0,0,0,0,0,0,2,1,1,4,3.7,-3
15,18,32,16.0,2018-12-23,21,BOS,,CHO,W (+16),0,11,2,3,0.667,0,0,,2,2,1.0,0,2,2,0,1,1,3,1,6,3.6,-12
17,20,40,18.0,2019-01-09,21,BOS,,IND,W (+27),0,12,3,3,1.0,0,0,,0,0,,1,2,3,1,0,2,1,3,6,6.3,2
18,21,41,19.0,2019-01-10,21,BOS,@,MIA,L (-16),0,14,1,1,1.0,0,0,,0,0,,0,4,4,1,1,1,0,1,2,4.9,15
20,23,43,21.0,2019-01-14,21,BOS,@,BRK,L (-7),0,10,0,2,0.0,0,0,,0,0,,1,1,2,0,1,1,0,2,0,0.5,-8
21,24,48,22.0,2019-01-23,21,BOS,,CLE,W (+20),0,13,2,2,1.0,0,0,,0,0,,0,0,0,1,0,3,0,4,4,4.6,0
23,26,61,24.0,2019-02-26,21,BOS,@,TOR,L (-23),0,20,3,4,0.75,0,0,,2,2,1.0,3,1,4,0,0,0,1,0,8,7.8,-7
27,30,69,28.0,2019-03-14,21,BOS,,SAC,W (+6),0,7,1,1,1.0,0,0,,0,0,,0,1,1,0,2,0,0,0,2,4.0,5
28,31,73,29.0,2019-03-23,21,BOS,@,CHO,L (-7),1,10,1,2,0.5,0,0,,0,0,,1,2,3,1,0,2,0,1,2,4.0,-11
29,32,77,30.0,2019-03-30,21,BOS,@,BRK,L (-14),0,8,0,1,0.0,0,0,,0,0,,0,4,4,0,0,2,0,0,0,1.9,-1
31,35,82,32.0,2019-04-09,21,BOS,@,WAS,W (+6),1,29,1,3,0.333,0,0,,0,0,,3,8,11,1,1,3,1,6,2,5.2,17
34,41,6,3.0,2019-04-30,21,BOS,@,MIL,L (-21),0,9,1,2,0.5,0,0,,2,2,1.0,1,4,5,0,0,0,0,1,4,4.5,8
35,42,1,1.0,2019-10-23,22,BOS,@,PHI,L (-14),0,11,2,4,0.5,0,0,,1,2,0.5,1,2,3,1,1,1,0,4,5,4.7,7
36,43,2,2.0,2019-10-25,22,BOS,,TOR,W (+6),0,15,3,3,1.0,0,0,,0,0,,2,4,6,1,2,1,1,4,6,8.5,-3
37,44,3,3.0,2019-10-26,22,BOS,@,NYK,W (+23),1,22,2,3,0.667,0,0,,0,0,,2,5,7,3,2,1,1,3,4,8.2,8
38,45,4,4.0,2019-10-30,22,BOS,,MIL,W (+11),0,14,1,2,0.5,0,0,,0,0,,0,4,4,3,0,1,0,1,2,4.6,11
39,47,6,5.0,2019-11-05,22,BOS,@,CLE,W (+6),0,15,3,4,0.75,0,0,,0,0,,2,2,4,3,1,2,1,4,6,8.3,-2
40,48,7,6.0,2019-11-07,22,BOS,@,CHO,W (+21),0,13,2,2,1.0,0,0,,3,6,0.5,1,4,5,1,2,0,3,1,7,6.4,9
