,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,4,5,2.0,2020-01-04,22,UTA,@,ORL,W (+13),0,5,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,2,1.0,-8.0
2,5,6,3.0,2020-01-06,22,UTA,@,NOP,W (+2),0,5,1,1,1.0,0,0,,1,1,1.0,1,0,1,0,0,0,0,0,3,3.4,3.0
3,6,7,4.0,2020-01-08,22,UTA,,NYK,W (+24),0,9,0,1,0.0,0,1,0.0,0,0,,0,2,2,1,0,0,0,1,0,0.2,-3.0
4,7,8,5.0,2020-01-10,22,UTA,,CHO,W (+17),0,17,1,2,0.5,0,0,,0,0,,0,0,0,1,1,0,1,2,2,0.9,-8.0
5,8,9,6.0,2020-01-12,22,UTA,@,WAS,W (+11),0,12,0,1,0.0,0,1,0.0,0,0,,0,4,4,0,0,0,0,1,0,0.1,1.0
10,13,14,11.0,2020-01-22,22,UTA,@,GSW,W (+33),0,8,3,5,0.6,0,1,0.0,0,0,,1,0,1,0,0,0,2,2,6,1.6,2.0
14,35,36,15.0,2020-08-01,22,UTA,@,OKC,L (-16),0,6,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,5.0
15,37,38,16.0,2020-08-05,22,UTA,,MEM,W (+9),0,7,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,1,0,0,1,2,1,-1.2,-4.0
16,38,39,17.0,2020-08-07,22,UTA,@,SAS,L (-8),0,19,1,3,0.333,1,3,0.333,2,2,1.0,1,1,2,0,0,0,2,1,5,1.9,-3.0
18,40,41,19.0,2020-08-10,22,UTA,,DAL,L (-8),0,28,4,7,0.571,1,3,0.333,8,9,0.889,0,3,3,1,0,1,1,0,17,14.6,-7.0
19,41,42,20.0,2020-08-13,22,UTA,,SAS,W (+6),0,24,6,12,0.5,1,4,0.25,5,5,1.0,0,2,2,1,0,0,0,0,18,13.3,-7.0
21,44,3,2.0,2020-08-21,22,UTA,,DEN,W (+37),0,9,2,5,0.4,1,3,0.333,0,0,,0,0,0,0,0,0,1,0,5,1.3,-2.0
26,53,34,5.0,2021-04-04,23,PHI,,MEM,L (-16),0,10,0,3,0.0,0,1,0.0,2,2,1.0,1,1,2,0,0,0,0,1,2,0.5,10.0
27,56,37,6.0,2021-04-10,23,PHI,@,OKC,W (+24),0,6,1,1,1.0,0,0,,0,0,,0,2,2,1,0,0,1,0,2,2.0,2.0
32,63,44,11.0,2021-04-24,23,PHI,@,MIL,L (-38),0,6,1,1,1.0,1,1,1.0,3,4,0.75,0,0,0,0,0,0,0,1,6,4.9,-14.0
33,64,45,12.0,2021-04-26,23,PHI,,OKC,W (+31),0,8,1,3,0.333,0,2,0.0,0,0,,0,1,1,1,1,0,1,1,2,0.9,-1.0
35,75,56,14.0,2021-05-16,23,PHI,,ORL,W (+11),0,18,4,5,0.8,0,0,,2,5,0.4,0,2,2,1,0,0,1,2,10,6.4,-13.0
