,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1,2020-12-23,19,MIN,,DET,W (+10),0,25,5,12,0.417,1,5,0.2,4,4,1.0,2,2,4,4,0,0,1,1,15,12.0,4
1,1,2,2,2020-12-26,19,MIN,@,UTA,W (+5),0,22,8,12,0.667,2,3,0.667,0,0,,0,1,1,1,2,0,0,4,18,14.2,6
2,2,3,3,2020-12-27,19,MIN,@,LAL,L (-36),0,29,6,21,0.286,1,9,0.111,2,2,1.0,2,2,4,2,1,0,1,2,15,5.3,-14
3,3,4,4,2020-12-29,19,MIN,@,LAC,L (-23),0,25,4,10,0.4,4,7,0.571,0,0,,0,0,0,0,0,1,0,1,12,6.9,-21
4,4,5,5,2021-01-01,19,MIN,,WAS,L (-21),0,26,7,16,0.438,2,8,0.25,1,4,0.25,0,3,3,2,0,1,3,2,17,6.6,-7
5,5,6,6,2021-01-03,19,MIN,,DEN,L (-15),0,23,2,4,0.5,1,3,0.333,0,0,,0,0,0,4,1,0,3,1,5,3.4,-8
6,6,7,7,2021-01-05,19,MIN,@,DEN,L (-7),0,26,6,19,0.316,1,7,0.143,2,2,1.0,1,2,3,1,0,0,3,1,15,2.7,-9
7,7,8,8,2021-01-07,19,MIN,@,POR,L (-18),0,31,9,21,0.429,3,10,0.3,5,7,0.714,2,2,4,1,2,0,4,2,26,14.0,-15
8,8,9,9,2021-01-09,19,MIN,,SAS,L (-3),0,30,5,11,0.455,1,4,0.25,2,2,1.0,0,4,4,4,0,0,3,3,13,7.1,2
9,9,10,10,2021-01-10,19,MIN,,SAS,W (+8),0,18,0,8,0.0,0,2,0.0,0,0,,3,3,6,1,0,0,2,1,0,-4.3,-5
10,10,11,11,2021-01-13,19,MIN,,MEM,L (-11),0,17,1,6,0.167,0,2,0.0,0,0,,2,1,3,1,0,0,0,1,2,0.2,-3
11,11,12,12,2021-01-18,19,MIN,@,ATL,L (-11),0,30,5,16,0.313,2,5,0.4,0,0,,1,4,5,2,0,0,1,2,12,4.3,1
12,12,13,13,2021-01-20,19,MIN,,ORL,L (-1),0,23,3,14,0.214,1,4,0.25,1,2,0.5,0,0,0,0,0,0,2,0,8,-3.0,13
13,13,14,14,2021-01-22,19,MIN,,ATL,L (-18),0,24,2,12,0.167,1,5,0.2,0,0,,0,3,3,1,1,0,3,2,5,-3.8,-13
14,14,15,15,2021-01-23,19,MIN,,NOP,W (+10),0,20,5,14,0.357,2,7,0.286,6,6,1.0,0,1,1,1,2,0,2,0,18,11.2,9
15,15,16,16,2021-01-25,19,MIN,@,GSW,L (-22),0,27,4,13,0.308,1,3,0.333,6,7,0.857,2,1,3,1,1,0,2,2,15,7.7,-10
16,16,17,17,2021-01-27,19,MIN,@,GSW,L (-12),0,32,9,19,0.474,5,8,0.625,2,2,1.0,1,3,4,2,3,0,3,1,25,17.9,-2
17,17,18,18,2021-01-29,19,MIN,,PHI,L (-24),1,29,5,13,0.385,3,7,0.429,2,2,1.0,0,4,4,3,0,0,1,2,15,9.4,-25
18,18,19,19,2021-01-31,19,MIN,,CLE,W (+5),1,30,9,15,0.6,4,7,0.571,1,1,1.0,0,5,5,4,1,1,0,2,23,21.3,0
19,19,20,20,2021-02-01,19,MIN,@,CLE,L (-2),1,31,5,12,0.417,2,5,0.4,1,1,1.0,0,3,3,2,1,0,0,2,13,9.1,-3
20,20,21,21,2021-02-03,19,MIN,@,SAS,L (-3),1,32,6,14,0.429,1,3,0.333,1,2,0.5,0,6,6,2,0,1,0,1,14,9.7,-5
21,21,22,22,2021-02-05,19,MIN,@,OKC,W (+3),1,32,3,14,0.214,1,7,0.143,2,2,1.0,0,2,2,5,0,1,2,1,9,2.8,-6
